,name,github_id,labels,category,pypi_id,conda_id,homepage,description,license,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,projectrank,show,projectrank_placing,github_release_downloads,new_addition
0,pandapower,e2nIEE/pandapower,"['steady-state', 'python']",steady-state,pandapower,pandapower,https://www.pandapower.org/,Convenient Power System Modelling and Analysis.,BSD-3,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2022-11-29 18:08:09,2022-11-29 16:33:55,7029,206.0,374,48.0,899.0,146.0,626.0,568.0,2022-07-31 11:35:43,2.10.1,29.0,183.0,183.0,93,https://pypi.org/project/pandapower,10609.0,10609.0,https://anaconda.org/anaconda/pandapower,31,True,1,,
1,PyPSA,PyPSA/PyPSA,"['steady-state', 'python']",steady-state,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,Simulating and optimising modern power and energy systems.,MIT,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2022-11-29 10:38:24,2022-11-29 10:38:24,1649,204.0,309,60.0,292.0,54.0,163.0,746.0,2022-11-10 14:11:19,0.21.1,38.0,75.0,75.0,51,https://pypi.org/project/pypsa,2842.0,2842.0,https://anaconda.org/anaconda/pypsa,30,True,2,,
2,precice,precice/precice,['multi-energy'],cosim,pyprecice,pyprecice,https://precice.org/,Partitioned multi-physics simulations.,LGPL-3.0,https://github.com/precice/precice,2015-05-22 14:05:22,2022-11-29 15:10:01,2022-11-28 18:12:01,4438,52.0,128,33.0,862.0,152.0,471.0,477.0,2022-08-10 12:48:38,2.5.0,25.0,,,46,https://pypi.org/project/pyprecice,227.0,435.0,https://anaconda.org/anaconda/pyprecice,23,True,1,12538.0,True
3,HELICS,GMLC-TDC/HELICS,"['dynamic', 'steady-state', 'multi-energy', 'python', 'julia']",cosim,helics,helics,https://helics.org/tools/,Large-scale Infrastructure Co-Simulation.,BSD-3,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2022-11-28 20:44:48,2022-10-21 23:17:11,3378,35.0,33,13.0,1846.0,73.0,529.0,83.0,2022-10-22 00:39:55,3.3.1,52.0,,,37,https://pypi.org/project/helics,950.0,1233.0,https://anaconda.org/anaconda/helics,22,False,2,16161.0,
4,GridCal,SanPen/GridCal,"['steady-state', 'python']",steady-state,GridCal,,https://www.advancedgridinsights.com/gridcal,Cross-platform power systems software.,LGPL-3.0,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2022-11-29 16:25:23,2022-10-13 11:32:33,2570,14.0,70,27.0,92.0,,74.0,304.0,2022-07-24 18:29:15,4.5.5,17.0,2.0,2.0,27,https://pypi.org/project/GridCal,714.0,714.0,,21,True,2,23.0,
5,pandapipes,e2nIEE/pandapipes,"['steady-state', 'python']",gasnet,pandapipes,,https://www.pandapipes.org/,A pipeflow calculation tool.,BSD-3,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2022-11-28 14:46:35,2022-10-25 11:39:48,1217,29.0,33,9.0,309.0,49.0,41.0,65.0,2022-08-02 08:23:28,0.7.0,9.0,6.0,6.0,13,https://pypi.org/project/pandapipes,1406.0,1406.0,,21,False,1,,
6,matpower,MATPOWER/matpower,['steady-state'],steady-state,matpower,,https://matpower.org/,Steady state power flow simulation.,BSD-3,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2022-11-23 22:18:03,2022-11-23 21:49:46,2251,21.0,124,28.0,36.0,10.0,113.0,282.0,2020-10-08 23:57:49,7.1,3.0,,,12,https://pypi.org/project/matpower,89.0,3019.0,,20,True,3,140676.0,
7,PYPOWER,rwl/PYPOWER,"['steady-state', 'python']",steady-state,PYPOWER,pypower,rwl.github.io/PYPOWER/api/,Port of MATPOWER to Python.,BSD,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2022-06-24 05:19:46,2022-06-24 05:19:46,342,,88,26.0,40.0,24.0,11.0,246.0,2021-03-22 22:06:27,5.1.15,13.0,70.0,70.0,18,https://pypi.org/project/PYPOWER,2478.0,2478.0,https://anaconda.org/anaconda/pypower,19,False,3,,
8,LTB andes,cuihantao/andes,"['dynamic', 'LTB', 'python']",dynamic,andes,andes,https://docs.andes.app/en/stable/,Power system dynamics simulation with symbolic modeling and numerical analysis.,GPL-3.0,https://github.com/cuihantao/andes,2016-11-07 01:04:50,2022-11-29 07:57:01,2022-11-18 02:25:26,4273,49.0,60,13.0,238.0,4.0,40.0,134.0,2022-03-27 17:07:13,1.6.2,18.0,6.0,6.0,16,https://pypi.org/project/andes,334.0,334.0,https://anaconda.org/anaconda/andes,19,True,1,,
9,PowerSimulationsDynamics,NREL-SIIP/PowerSimulationsDynamics.jl,"['dynamic', 'julia']",dynamic,,,https://github.com/NREL-SIIP/PowerSimulationsDynamics.jl,Dynamic Power System simulations.,BSD-3,https://github.com/NREL-SIIP/PowerSimulationsDynamics.jl,2020-07-16 19:36:16,2022-11-29 17:48:49,2022-11-29 07:21:51,2237,18.0,24,11.0,172.0,35.0,75.0,99.0,2022-10-06 03:22:23,0.10.7,29.0,,,10,,,,,17,False,3,,
