,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,dockerhub_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,projectrank_placing,github_release_downloads,dockerhub_stars,new_addition,trending
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2022-11-23 14:15:04.000000,2022-11-23 14:13:55,209.0,3.0,53.0,9.0,18.0,6.0,139.0,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,"Cross-Domain Data Hub with Electricity Market, Coronavirus Case, Mobility and Satellite Data in USA.",https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28.000000,2022-05-16 00:06:28,979.0,,17.0,6.0,,,53.0,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,
2,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2022-11-30 17:15:46.000000,2022-11-30 10:24:29,7045.0,222.0,374.0,48.0,899.0,627.0,569.0,95.0,31,True,145.0,pandapower,pandapower,pauldepraz/pandapowerapi,https://pandapower.readthedocs.io/en/latest/,2022-07-31 11:35:43,2.10.1,29.0,184.0,184.0,https://pypi.org/project/pandapower,10995.0,10996.0,https://anaconda.org/anaconda/pandapower,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,85.0,1.0,,,,
3,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://github.com/PyPSA/PyPSA,MIT,Simulating and optimising modern power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2022-11-30 11:11:03.000000,2022-11-30 11:10:40,1653.0,208.0,310.0,60.0,293.0,165.0,749.0,52.0,30,True,55.0,pypsa,pypsa,nimfetrisa/pypsa-eur,https://pypsa.readthedocs.io/en/latest/,2022-11-30 11:13:01,0.21.2,39.0,75.0,75.0,https://pypi.org/project/pypsa,2982.0,2982.0,https://anaconda.org/anaconda/pypsa,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,35.0,1.0,,,,
4,OpenModelica,phycosim,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based modeling and simulation environment.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2022-11-30 21:23:25.000000,2022-11-30 20:36:03,35548.0,267.0,228.0,52.0,3162.0,5097.0,550.0,174.0,28,False,1503.0,,,openmodelica/openmodelica,https://openmodelica.org/useresresources/userdocumentation,2022-07-08 22:40:17,1.19.2,13.0,,,,,193.0,,https://hub.docker.com/r/openmodelica/openmodelica,2022-08-01 14:22:39.762413,17131.0,1.0,341.0,5.0,True,
5,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2022-11-22 08:08:54.000000,2022-11-22 08:08:54,2293.0,8.0,202.0,36.0,13.0,503.0,927.0,22.0,23,True,2.0,ipopt,ipopt,,https://coin-or.github.io/Ipopt/,2022-10-11 08:16:53,releases/3.14.10,16.0,,,https://pypi.org/project/ipopt,3141.0,3328.0,https://anaconda.org/anaconda/ipopt,,,,1.0,5802.0,,,
6,precice,phycosim,,,precice/precice,https://precice.org/,LGPL-3.0,Partitioned multi-physics simulations.,https://github.com/precice/precice,2015-05-22 14:05:22,2022-11-30 16:45:45.000000,2022-11-30 15:50:12,4456.0,70.0,128.0,33.0,863.0,472.0,477.0,46.0,23,True,151.0,pyprecice,pyprecice,precice/precice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,25.0,,,https://pypi.org/project/pyprecice,210.0,510.0,https://anaconda.org/anaconda/pyprecice,https://hub.docker.com/r/precice/precice,2022-08-10 20:09:59.763283,8212.0,3.0,12550.0,,,
7,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,High performance serial and parallel solver for large scale sparse linear optimization problems.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2022-11-30 09:25:52.000000,2022-11-29 11:34:24,7573.0,150.0,86.0,23.0,657.0,287.0,425.0,44.0,23,True,48.0,scikit-highs,,,https://ergo-code.github.io/HiGHS/,2022-11-27 15:48:47,1.4.0,6.0,5.0,5.0,https://pypi.org/project/scikit-highs,17.0,17.0,,,,,1.0,,,,
8,HELICS,escosim,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Large-scale Infrastructure Co-Simulation.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2022-11-28 20:44:48.000000,2022-10-21 23:17:11,3378.0,34.0,33.0,13.0,1846.0,529.0,83.0,37.0,22,True,73.0,helics,helics,,,2022-10-22 00:39:55,3.3.1,52.0,,,https://pypi.org/project/helics,954.0,1237.0,https://anaconda.org/anaconda/helics,,,,1.0,16176.0,,,
9,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,A pipeflow calculation tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2022-11-30 10:58:09.000000,2022-10-25 11:39:48,1217.0,29.0,33.0,9.0,309.0,41.0,65.0,13.0,21,True,49.0,pandapipes,,,https://jkpandapipes.readthedocs.io/en/latest/,2022-08-02 08:23:28,0.7.0,9.0,6.0,6.0,https://pypi.org/project/pandapipes,1460.0,1460.0,,,,,1.0,,,,
10,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2022-11-29 16:25:23.000000,2022-10-13 11:32:33,2570.0,7.0,71.0,27.0,92.0,74.0,304.0,27.0,20,True,,GridCal,,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2022-07-24 18:29:15,4.5.5,17.0,2.0,2.0,https://pypi.org/project/GridCal,713.0,713.0,,,,,2.0,23.0,,,
11,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2022-11-23 22:24:51.897884,2022-11-23 21:49:46,2251.0,21.0,124.0,28.0,36.0,113.0,282.0,12.0,20,True,10.0,matpower,,matpower/matpower,https://matpower.org/doc/,2020-10-08 23:57:49,7.1,3.0,,,https://pypi.org/project/matpower,93.0,3035.0,,https://hub.docker.com/r/matpower/matpower,2022-11-23 22:24:51.897884,341.0,2.0,141049.0,,,
12,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,A testbed platform to model sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2022-07-11 08:40:15.000000,2022-07-05 13:47:42,2138.0,,82.0,15.0,138.0,183.0,195.0,21.0,20,True,46.0,Grid2Op,,bdonnot/grid2op,https://grid2op.readthedocs.io/en/latest/,2022-07-05 13:48:22,1.7.2,16.0,,,https://pypi.org/project/Grid2Op,458.0,679.0,,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8200.0,1.0,,1.0,,
13,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization Simulation and Modeling of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerSimulations.jl,2017-11-03 21:11:22,2022-11-17 06:23:00.000000,2022-11-09 18:26:46,7156.0,38.0,42.0,16.0,656.0,207.0,185.0,28.0,20,True,16.0,,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2022-11-09 18:44:16,0.15.9,67.0,,,,,,,,,,2.0,,,True,
