,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,dockerhub_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,projectrank_placing,github_release_downloads,dockerhub_stars,trending,new_addition
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2022-11-23 14:15:04.000000,2022-11-23 14:13:55,209,3.0,54,9.0,18.0,6.0,140,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,"Cross-Domain Data Hub with Electricity Market, Coronavirus Case, Mobility and Satellite Data in USA.",https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28.000000,2022-05-16 00:06:28,979,,17,6.0,,,53,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,
2,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2022-12-08 14:09:08.000000,2022-12-08 14:08:43,7127,267.0,377,47.0,903.0,628.0,572,97.0,31,True,146.0,pandapower,pandapower,pauldepraz/pandapowerapi,https://pandapower.readthedocs.io/en/latest/,2022-07-31 11:35:43,2.10.1,29.0,185.0,185.0,https://pypi.org/project/pandapower,11014.0,11015.0,https://anaconda.org/anaconda/pandapower,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,86.0,1.0,,,,
3,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising modern power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2022-12-08 15:45:59.000000,2022-12-08 09:27:21,1662,199.0,314,60.0,296.0,166.0,749,53.0,30,True,55.0,pypsa,pypsa,,https://pypsa.readthedocs.io/en/latest/,2022-11-30 11:13:01,0.21.2,39.0,76.0,76.0,https://pypi.org/project/pypsa,3113.0,3113.0,https://anaconda.org/anaconda/pypsa,,,,1.0,,,,
4,OpenModelica,cosimf,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based modeling and simulation environment.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2022-12-08 15:44:55.000000,2022-12-08 15:44:55,35591,298.0,229,52.0,3209.0,5122.0,555,174.0,28,True,1506.0,,,openmodelica/openmodelica,https://openmodelica.org/useresresources/userdocumentation,2022-07-08 22:40:17,1.19.2,13.0,,,,,191.0,,https://hub.docker.com/r/openmodelica/openmodelica,2022-08-01 14:22:39.762413,17159.0,1.0,341.0,5.0,,
5,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,High performance serial and parallel solver for large scale sparse linear optimization problems.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2022-12-07 23:35:29.000000,2022-12-06 23:12:31,7578,149.0,86,23.0,661.0,294.0,433,45.0,24,True,50.0,scikit-highs,,,https://ergo-code.github.io/HiGHS/,2022-12-06 23:21:16,1.4.1,7.0,5.0,5.0,https://pypi.org/project/scikit-highs,65.0,65.0,,,,,1.0,,,1.0,
6,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2022-11-22 08:08:54.000000,2022-11-22 08:08:54,2293,8.0,205,36.0,13.0,503.0,932,22.0,23,True,3.0,ipopt,ipopt,,https://coin-or.github.io/Ipopt/,2022-10-11 08:16:53,releases/3.14.10,16.0,,,https://pypi.org/project/ipopt,3071.0,3253.0,https://anaconda.org/anaconda/ipopt,,,,3.0,5847.0,,,
7,precice,cosimf,,,precice/precice,https://precice.org/,LGPL-3.0,Partitioned multi-physics simulations.,https://github.com/precice/precice,2015-05-22 14:05:22,2022-12-08 12:32:48.000000,2022-12-06 14:01:32,4465,76.0,128,33.0,874.0,476.0,482,46.0,23,True,149.0,pyprecice,pyprecice,precice/precice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,25.0,,,https://pypi.org/project/pyprecice,186.0,483.0,https://anaconda.org/anaconda/pyprecice,https://hub.docker.com/r/precice/precice,2022-08-10 20:09:59.763283,8240.0,3.0,12654.0,,,
8,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials and Time Series.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2022-12-05 20:21:03.000000,2022-11-29 12:05:25,499,22.0,48,13.0,171.0,70.0,158,22.0,23,True,25.0,atlite,atlite,,https://atlite.readthedocs.io/en/master/?badge=master,2022-10-07 12:43:34,0.2.9,8.0,15.0,15.0,https://pypi.org/project/atlite,1383.0,1383.0,https://anaconda.org/anaconda/atlite,,,,1.0,,,,True
9,HELICS,cosimf,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Framework to Integrate Simulators Designed for Separate TDC Domains.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2022-12-06 13:30:25.000000,2022-12-02 23:45:54,3391,41.0,33,14.0,1849.0,530.0,85,37.0,22,True,73.0,helics,helics,,,2022-12-03 01:32:39,3.3.2,53.0,,,https://pypi.org/project/helics,918.0,1198.0,https://anaconda.org/anaconda/helics,,,,3.0,16257.0,,,
10,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,A pipeflow calculation tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2022-12-06 16:11:30.000000,2022-12-01 09:59:13,1219,23.0,32,9.0,310.0,42.0,65,13.0,21,True,48.0,pandapipes,,,https://jkpandapipes.readthedocs.io/en/latest/,2022-08-02 08:23:28,0.7.0,9.0,6.0,6.0,https://pypi.org/project/pandapipes,1492.0,1492.0,,,,,1.0,,,,
11,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2022-12-08 08:20:44.000000,2022-10-13 11:32:33,2570,4.0,71,27.0,93.0,74.0,308,27.0,20,True,,GridCal,,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2022-07-24 18:29:15,4.5.5,17.0,2.0,2.0,https://pypi.org/project/GridCal,600.0,600.0,,,,,2.0,23.0,,,
12,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2022-11-23 22:24:51.897884,2022-11-23 21:49:46,2251,21.0,124,29.0,36.0,113.0,284,12.0,20,True,11.0,matpower,,matpower/matpower,https://matpower.org/doc/,2020-10-08 23:57:49,7.1,3.0,,,https://pypi.org/project/matpower,98.0,3040.0,,https://hub.docker.com/r/matpower/matpower,2022-11-23 22:24:51.897884,360.0,2.0,143954.0,,,
13,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,A testbed platform to model sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2022-07-11 08:40:15.000000,2022-07-05 13:47:42,2138,,82,15.0,138.0,185.0,197,21.0,20,True,45.0,Grid2Op,,bdonnot/grid2op,https://grid2op.readthedocs.io/en/latest/,2022-07-05 13:48:22,1.7.2,16.0,,,https://pypi.org/project/Grid2Op,377.0,593.0,,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8225.0,1.0,,1.0,,
14,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization Simulation and Modeling of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerSimulations.jl,2017-11-03 21:11:22,2022-12-07 16:32:36.000000,2022-12-02 07:51:02,7167,34.0,43,16.0,658.0,208.0,187,28.0,20,True,21.0,,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2022-12-02 16:06:13,0.15.10,68.0,,,,,,,,,,2.0,,,,
15,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2022-06-24 05:19:46.000000,2022-06-24 05:19:46,342,,89,26.0,40.0,11.0,246,18.0,19,True,24.0,PYPOWER,pypower,hwanghust/pypower,http://rwl.github.io/PYPOWER/index.html,2021-03-22 22:06:27,5.1.15,13.0,70.0,70.0,https://pypi.org/project/PYPOWER,2198.0,2198.0,https://anaconda.org/anaconda/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,16.0,3.0,,,,
16,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Open Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2022-12-08 13:32:10.000000,2022-12-08 13:32:09,1167,88.0,104,14.0,281.0,117.0,165,34.0,19,True,50.0,,,nimfetrisa/pypsa-eur,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2022-09-20 16:38:33,0.6.1,9.0,,,,,0.0,,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,35.0,3.0,,,,True
17,LTB andes,dynamic,"['python', 'jupyter', 'ltb', 'curent']",,cuihantao/andes,https://github.com/cuihantao/andes,GPL-3,Transient Stability Simulator with Hybrid Symbolic-Numeric Framework; Part of CURENT LTB.,https://github.com/cuihantao/andes,2016-11-07 01:04:50,2022-12-02 20:20:48.000000,2022-12-01 03:48:05,4283,57.0,61,13.0,239.0,40.0,136,16.0,19,True,4.0,andes,andes,cuihantao/andes,https://docs.andes.app/en/stable/,2022-03-27 17:07:13,1.6.2,18.0,6.0,6.0,https://pypi.org/project/andes,270.0,271.0,https://anaconda.org/anaconda/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,110.0,1.0,,,,
18,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,https://powerplantmatching.readthedocs.io/en/latest/.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2022-12-01 18:56:37.000000,2022-12-01 18:56:37,743,40.0,35,18.0,36.0,42.0,93,15.0,19,True,12.0,powerplantmatching,powerplantmatching,,https://atlite.readthedocs.io/en/master/?badge=master,2022-08-02 17:09:56,0.5.4,11.0,12.0,12.0,https://pypi.org/project/powerplantmatching,75.0,75.0,https://anaconda.org/anaconda/powerplantmatching,,,,3.0,36.0,,,True
19,Power Grid Model,steady-state,['python'],,alliander-opensource/power-grid-model,https://github.com/alliander-opensource/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/alliander-opensource/power-grid-model,2022-01-20 12:31:31,2022-12-07 15:32:18.000000,2022-11-18 12:13:22,963,170.0,10,4.0,106.0,28.0,58,12.0,19,True,24.0,power-grid-model,,,https://power-grid-model.readthedocs.io/en/stable/,2022-11-18 14:01:35,1.4.21,53.0,,,https://pypi.org/project/power-grid-model,4660.0,4757.0,,,,,3.0,682.0,,,True
20,Easy SimAuto,intf,['python'],,mzy2240/ESA,https://github.com/mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2022-10-27 17:48:49.000000,2022-10-26 23:52:18,631,57.0,6,4.0,12.0,74.0,32,9.0,19,True,10.0,esa,,,https://mzy2240.github.io/ESA/html/index.html,2022-10-12 21:32:24,1.3.3,13.0,3.0,3.0,https://pypi.org/project/esa,441.0,441.0,,,,,1.0,,,,True
21,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2022-12-02 17:20:39.000000,2022-12-01 03:48:41,942,3.0,112,23.0,404.0,347.0,295,25.0,18,True,96.0,,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,2022-12-02 17:16:58,0.19.7,69.0,,,,,,,,,,3.0,,,,
22,py-dss-interface,intf,['python'],,PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,MIT,Python interface to OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2022-11-23 19:57:55.000000,2022-11-23 19:57:53,430,62.0,6,6.0,44.0,21.0,15,5.0,18,True,32.0,py-dss-interface,,,https://py-dss-interface.readthedocs.io/en/latest/,2022-07-23 19:49:38,1.0.3,1.0,13.0,13.0,https://pypi.org/project/py-dss-interface,185.0,185.0,,,,,3.0,,,,True
23,PowerSimulationsDynamics.jl,dynamic,['julia'],,NREL-SIIP/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Dynamic Power System simulations; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerSimulationsDynamics.jl,2020-07-16 19:36:16,2022-12-05 20:54:09.000000,2022-11-29 07:21:51,2237,15.0,25,10.0,174.0,75.0,101,10.0,17,True,36.0,,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2022-10-06 03:22:23,0.10.7,29.0,,,,,,,,,,2.0,,,,
24,PyPSA-Eur-Sec,steady-state,['python'],,PyPSA/pypsa-eur-sec,https://pypsa.org,MIT,Sector-Coupled Open Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur-sec,2019-04-17 15:43:45,2022-12-07 13:08:19.000000,2022-11-28 17:52:18,897,115.0,41,14.0,170.0,57.0,66,20.0,16,True,61.0,,,,https://pypsa-eur-sec.readthedocs.io/en/latest/?badge=latest,2021-10-04 16:15:09,0.6.0,6.0,,,,,,,,,,3.0,,,,True
25,GridPath,steady-state,['python'],,blue-marble/gridpath,https://www.gridpath.io/,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28,2022-12-04 04:04:33.000000,2022-06-21 21:56:13,1317,,25,9.0,666.0,236.0,64,7.0,16,True,62.0,,,,https://gridpath.readthedocs.io/en/latest/?badge=latest,2022-06-21 21:59:32,0.14.1,21.0,,,,,12.0,,,,,3.0,379.0,,,
26,EGRET,steady-state,['python'],,grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2022-12-05 17:07:27.000000,2022-11-02 15:32:12,1028,14.0,42,15.0,217.0,37.0,96,38.0,15,True,42.0,,,,,2022-02-28 20:44:04,0.5.2,3.0,2.0,2.0,,,,,,,,3.0,,,,
27,PowerSystems,dynamic,,,modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2022-11-01 12:59:23.000000,2022-06-19 16:27:27,186,,33,31.0,17.0,25.0,47,10.0,14,True,9.0,,,,https://build.openmodelica.org/Documentation/PowerSystems.html,2018-11-12 21:15:19,1.0.0,5.0,,,,,,,,,,3.0,,,,
28,PowerGraphics,vis,['julia'],,nrel-siip/powergraphics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Visualization Program for PowerSimulations; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerGraphics.jl,2020-02-19 23:29:27,2022-11-17 04:51:46.000000,2022-11-17 04:46:49,515,4.0,8,8.0,74.0,20.0,19,9.0,12,True,10.0,,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2022-08-27 12:40:34,0.12.1,32.0,,,,,,,,,,1.0,,,,
29,STEPS,dynamic,,,changgang/steps,https://github.com/changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,2019-08-24 12:09:47,2022-09-26 10:45:08.000000,2022-04-13 13:08:17,532,,11,2.0,,1.0,26,3.0,8,True,,,,,https://github.com/changgang/steps/wiki/,2020-09-27 10:38:25,1.4,4.0,5.0,5.0,,,0.0,,,,,3.0,8.0,,,
30,OpenHybridSim,dynamic,,,OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,BSD-3,Power system Electromagnetic Transient-Transient Stability hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14,2020-05-05 20:35:13.000000,2020-05-05 20:35:12,16,,5,5.0,,,7,,6,False,1.0,,,,,,,,,,,,,,,,,3.0,,,,
31,andes_gym,mrl,"['python', 'curent']",,cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34,2022-01-28 19:53:49.000000,2022-01-28 19:53:49,31,,3,2.0,1.0,,7,2.0,6,True,,andes,andes,,,,,,,,https://pypi.org/project/andes,270.0,270.0,https://anaconda.org/anaconda/andes,,,,3.0,,,,
32,Large-scale Testbed (LTB),cosimps,"['python', 'ltb', 'curent']",,CURENT/ltb2,https://github.com/CURENT/ltb2,GPL-3.0,"Large-scale Testbed, with SELF-DEVELOPED Engine.",https://github.com/CURENT/ltb2,2022-04-17 02:37:34,2022-11-30 18:18:37.000000,2022-11-30 18:10:41,35,8.0,1,,,,3,3.0,6,True,3.0,,,,,,,,,,,,,,,,,1.0,,,1.0,
33,LTB DiME,msg,"['ltb', 'curent']",,CURENT/dime,https://github.com/CURENT/dime,GPL-3.0,Distributed Messaging Environment for LTB; Part of CURENT LTB.,https://github.com/CURENT/dime,2022-04-06 15:10:35,2022-11-23 01:43:10.000000,2022-11-23 01:43:10,263,6.0,1,,2.0,,1,3.0,6,True,,,,,https://ltbdime.readthedocs.io/en/latest/,,,,,,,,,,,,,1.0,,,,
34,LTB AGVis,vis,"['ltb', 'curent']",,CURENT/agvis,https://github.com/CURENT/agvis,GPL-3.0,Geographical Visualization of Power Grid; Part of CURENT LTB.,https://github.com/CURENT/agvis,2019-08-30 19:15:27,2022-11-30 18:10:01.000000,2022-11-30 18:09:51,312,9.0,4,1.0,17.0,,1,7.0,6,True,,,,,https://agvis.readthedocs.io/en/latest/,,,,,,,,,,,,,3.0,,,,
