,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2022-12-16 15:37:24,2022-12-16 15:37:20,214,8.0,57,9.0,19.0,6.0,143,7.0,0,True,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,17,6.0,,,53,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2022-12-22 14:08:10,2022-12-20 20:25:33,19146,762.0,398,58.0,1542.0,834.0,1386,120.0,36,True,298.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2022-12-09 22:23:30,6.4.4,536.0,125080.0,6.0,1119.0,1119.0,https://pypi.org/project/Pyomo,125027.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2022-12-22 12:06:37,2022-12-22 12:06:37,7193,261.0,381,48.0,917.0,635.0,576,99.0,31,True,147.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2022-12-14 19:19:01,2.11.0,,11814.0,30.0,189.0,189.0,https://pypi.org/project/pandapower,11813.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,86.0,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2022-12-21 09:50:04,2022-12-21 09:50:04,1704,214.0,317,60.0,304.0,169.0,755,55.0,30,True,55.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2022-12-16 09:27:37,0.21.3,,2931.0,40.0,80.0,80.0,https://pypi.org/project/pypsa,2931.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,
5,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2022-12-22 18:08:51,2022-12-22 18:08:50,35632,316.0,228,53.0,3252.0,5139.0,560,176.0,28,True,1531.0,,,https://openmodelica.org/useresresources/userdocumentation,2022-07-08 22:40:17,1.19.2,341.0,192.0,13.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2022-08-01 14:22:39.762413,17213.0,5.0,
6,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2022-12-22 17:13:49,2022-12-21 23:02:00,4487,49.0,358,82.0,1818.0,1290.0,1852,134.0,25,True,18.0,,,https://jump.dev/JuMP.jl/stable/,2022-12-07 20:25:30,1.5.0,,,47.0,,,,,,3.0,,,,,,
7,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2022-12-22 16:37:26,2022-12-15 15:18:08,7584,148.0,88,23.0,674.0,295.0,442,45.0,24,True,58.0,scikit-highs,,https://ergo-code.github.io/HiGHS/,2022-12-06 23:21:16,1.4.1,,138.0,7.0,5.0,5.0,https://pypi.org/project/scikit-highs,138.0,,1.0,,,,,,
8,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2022-11-22 08:08:54,2022-11-22 08:08:54,2293,7.0,207,37.0,13.0,505.0,938,22.0,23,True,2.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2022-10-11 08:16:53,releases/3.14.10,5985.0,3178.0,16.0,,,https://pypi.org/project/ipopt,2991.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,
9,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2022-12-22 13:36:01,2022-12-22 13:02:05,4478,85.0,128,33.0,882.0,477.0,490,46.0,23,True,154.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,12880.0,476.0,25.0,,,https://pypi.org/project/pyprecice,175.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2022-08-10 20:09:59.763283,8240.0,,
10,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2022-12-15 09:42:38,2022-12-12 08:52:50,2174,33.0,82,15.0,141.0,202.0,197,21.0,22,True,32.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2022-12-12 09:36:50,1.8.0,,726.0,17.0,,,https://pypi.org/project/Grid2Op,509.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8274.0,1.0,
