,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-01-02 18:08:09,2023-01-02 18:08:06,221,15.0,56.0,9.0,21.0,6.0,147,7.0,0,True,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,17.0,6.0,,,53,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-01-12 17:22:56,2023-01-12 17:22:56,19181,639.0,402.0,58.0,1554.0,839.0,1397,121.0,36,True,296.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2022-12-09 22:23:30,6.4.4,601.0,100616.0,6.0,1136.0,1136.0,https://pypi.org/project/Pyomo,100562.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-01-12 13:15:20,2023-01-12 12:59:29,7249,245.0,385.0,47.0,942.0,641.0,578,101.0,32,True,147.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-01-02 15:34:50,2.11.1,,11724.0,31.0,191.0,191.0,https://pypi.org/project/pandapower,11723.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,86.0,1.0,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-01-12 17:22:55,2023-01-12 17:22:52,1707,191.0,318.0,60.0,308.0,169.0,764,55.0,30,True,57.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2022-12-16 09:27:37,0.21.3,,2118.0,40.0,82.0,82.0,https://pypi.org/project/pypsa,2118.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,
5,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-01-12 13:39:44,2023-01-09 11:34:02,35643,283.0,229.0,54.0,3264.0,5159.0,565,176.0,27,True,1547.0,,,https://openmodelica.org/useresresources/userdocumentation,2022-07-08 22:40:17,1.19.2,341.0,193.0,13.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2022-08-01 14:22:39.762413,17524.0,,5.0
6,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-01-12 17:39:39,2023-01-12 01:07:33,4509,57.0,359.0,83.0,1840.0,1300.0,1867,134.0,25,True,12.0,,,https://jump.dev/JuMP.jl/stable/,2023-01-01 21:31:45,1.6.0,,,48.0,,,,,,3.0,,,,,,
7,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-01-12 15:08:16,2023-01-12 14:53:44,7679,206.0,92.0,21.0,695.0,308.0,463,45.0,25,True,56.0,scikit-highs,,https://ergo-code.github.io/HiGHS/,2022-12-06 23:21:16,1.4.1,,102.0,7.0,5.0,5.0,https://pypi.org/project/scikit-highs,102.0,,1.0,,,,,,
8,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2022-11-22 08:08:54,2022-11-22 08:08:54,2293,4.0,208.0,37.0,13.0,507.0,945,22.0,23,True,1.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2022-10-11 08:16:53,releases/3.14.10,6141.0,2551.0,16.0,,,https://pypi.org/project/ipopt,2365.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,
9,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2023-01-12 18:11:09,2023-01-09 06:03:58,4483,87.0,132.0,33.0,888.0,478.0,498,47.0,23,True,158.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,13115.0,507.0,25.0,,,https://pypi.org/project/pyprecice,205.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2022-08-10 20:09:59.763283,8437.0,,
