,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-01-02 18:08:09,2023-01-02 18:08:06,221,12.0,63.0,10.0,21.0,1.0,6.0,162,7.0,0,True,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,18.0,6.0,,1.0,,55,5.0,0,True,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-02-23 07:21:44,2023-02-21 21:49:54,20108,906.0,406.0,57.0,1607.0,278.0,867.0,1447,123.0,37,True,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-02-16 17:19:00,6.5.0,692.0,129611.0,7.0,1221.0,1221.0,https://pypi.org/project/Pyomo,129554.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-02-23 10:55:25,2023-02-22 10:36:15,7393,314.0,394.0,46.0,968.0,158.0,650.0,594,101.0,32,True,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-01-02 15:34:50,2.11.1,,13560.0,31.0,212.0,212.0,https://pypi.org/project/pandapower,13559.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,86.0,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-02-23 17:20:59,2023-02-23 17:20:59,1778,123.0,326.0,61.0,334.0,60.0,177.0,786,58.0,29,True,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-02-16 09:22:20,0.22.1,,3311.0,42.0,87.0,87.0,https://pypi.org/project/pypsa,3311.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,
5,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-02-23 15:51:53,2023-02-23 15:51:53,35738,218.0,238.0,53.0,3360.0,1587.0,5220.0,579,178.0,28,True,,,https://openmodelica.org/useresresources/userdocumentation,2023-02-02 13:01:22,1.14.0,345.0,200.0,15.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-01-26 12:25:23.123206,18332.0,5.0,
6,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-02-23 17:54:24,2023-02-23 17:54:24,4544,73.0,362.0,83.0,1876.0,11.0,1310.0,1902,137.0,25,True,,,https://jump.dev/JuMP.jl/stable/,2023-02-22 23:36:55,1.8.1,,,51.0,,,,,,3.0,,,,,,
7,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-02-13 16:23:59,2023-02-13 16:23:59,2307,14.0,211.0,38.0,17.0,3.0,521.0,968,25.0,24,True,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2023-02-07 04:12:31,releases/3.14.11,6588.0,2709.0,17.0,,,https://pypi.org/project/ipopt,2516.0,https://anaconda.org/anaconda/ipopt,1.0,,,,,,
8,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-02-13 08:53:27,2023-01-11 11:47:49,2188,47.0,85.0,16.0,150.0,45.0,205.0,203,22.0,24,True,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-01-11 13:01:28,1.8.1,,1237.0,18.0,,,https://pypi.org/project/Grid2Op,1027.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8438.0,1.0,1.0
9,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-02-23 17:58:43,2023-02-20 08:41:15,7684,102.0,100.0,23.0,741.0,53.0,340.0,489,46.0,23,True,scikit-highs,,https://ergo-code.github.io/HiGHS/,2023-02-01 11:51:31,1.4.2,,10.0,8.0,8.0,8.0,https://pypi.org/project/scikit-highs,10.0,,3.0,,,,,,
