,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-03-01 07:26:00,2023-01-02 18:08:06,221,12.0,64.0,10.0,22.0,7.0,161,7.0,0,True,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,18.0,6.0,,,56,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-03-02 17:46:34,2023-03-02 17:46:34,20143,793.0,409.0,57.0,1610.0,868.0,1452,123.0,36,True,279.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-02-16 17:19:00,6.5.0,736.0,139034.0,7.0,1232.0,1232.0,https://pypi.org/project/Pyomo,138978.0,https://anaconda.org/anaconda/pyomo,1.0,-1.0,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-03-02 14:20:22,2023-03-01 17:09:07,7396,268.0,396.0,46.0,972.0,650.0,594,102.0,32,True,158.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-01-02 15:34:50,2.11.1,,15122.0,31.0,212.0,212.0,https://pypi.org/project/pandapower,15121.0,https://anaconda.org/anaconda/pandapower,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,86.0,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-03-02 13:23:32,2023-03-02 13:23:32,1781,111.0,324.0,61.0,334.0,178.0,788,58.0,29,True,60.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-02-16 09:22:20,0.22.1,,3724.0,42.0,89.0,89.0,https://pypi.org/project/pypsa,3724.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,
5,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-03-02 18:08:02,2023-03-02 16:16:29,35765,205.0,241.0,53.0,3388.0,5242.0,581,180.0,28,True,1592.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-02-02 13:01:22,1.14.0,345.0,199.0,15.0,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-01-26 12:25:23.123206,18478.0,5.0
6,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-03-02 10:16:23,2023-03-01 20:40:38,4558,86.0,363.0,83.0,1898.0,1315.0,1910,137.0,25,True,11.0,,,https://jump.dev/JuMP.jl/stable/,2023-02-27 11:50:34,1.8.2,,,52.0,,,,,,3.0,,,,,,
7,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-03-02 13:44:37,2023-02-20 08:41:15,7684,89.0,100.0,23.0,746.0,344.0,493,46.0,25,True,54.0,scikit-highs,,https://ergo-code.github.io/HiGHS/,2023-02-24 14:45:09,1.5.1,,104.0,9.0,10.0,10.0,https://pypi.org/project/scikit-highs,104.0,,1.0,2.0,,,,,
8,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-02-13 16:23:59,2023-02-13 16:23:59,2307,14.0,211.0,38.0,17.0,521.0,976,25.0,24,True,3.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2023-02-07 04:12:31,releases/3.14.11,6689.0,2934.0,17.0,,,https://pypi.org/project/ipopt,2743.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,
9,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-02-13 08:53:27,2023-01-11 11:47:49,2188,29.0,86.0,16.0,150.0,205.0,204,22.0,23,True,46.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-01-11 13:01:28,1.8.1,,1198.0,18.0,,,https://pypi.org/project/Grid2Op,993.0,,1.0,-1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8444.0,1.0
10,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2023-03-02 15:41:31,2023-03-02 15:41:30,4540,80.0,138.0,33.0,916.0,496.0,512,49.0,22,True,166.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,14272.0,691.0,25.0,,,https://pypi.org/project/pyprecice,375.0,https://anaconda.org/anaconda/pyprecice,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2022-08-10 20:09:59.763283,8813.0,
11,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2023-03-02 11:38:33,2023-01-29 10:52:17,2689,60.0,75.0,26.0,96.0,75.0,315,28.0,22,True,,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2022-07-24 18:29:15,4.5.5,23.0,1036.0,17.0,4.0,4.0,https://pypi.org/project/GridCal,1036.0,,2.0,,,,,,
12,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2023-02-22 06:31:37,2023-02-22 06:31:37,550,31.0,54.0,14.0,179.0,75.0,175,23.0,22,True,22.0,atlite,atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-01-11 12:55:29,0.2.10,,819.0,9.0,17.0,17.0,https://pypi.org/project/atlite,819.0,https://anaconda.org/anaconda/atlite,1.0,,,,,,
13,HELICS,cosimf,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Framework to Integrate Simulators.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2023-02-25 15:43:30,2023-01-20 20:58:32,3412,21.0,34.0,13.0,1881.0,542.0,86,38.0,22,True,67.0,helics,helics,,2023-01-20 21:48:22,3.4.0,17243.0,1107.0,54.0,,,https://pypi.org/project/helics,825.0,https://anaconda.org/anaconda/helics,1.0,,,,,,
14,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2023-02-27 10:44:55,2023-02-27 09:24:32,1579,281.0,38.0,8.0,383.0,61.0,76,17.0,22,True,40.0,pandapipes,,https://jkpandapipes.readthedocs.io/en/latest/,2023-02-02 15:58:41,0.8.4,,797.0,14.0,6.0,6.0,https://pypi.org/project/pandapipes,797.0,,1.0,,,,,,
15,Power Grid Model,steady-state,['python'],,alliander-opensource/power-grid-model,https://github.com/alliander-opensource/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/alliander-opensource/power-grid-model,2022-01-20 12:31:31,2023-03-02 16:00:47,2023-03-02 15:11:29,1515,513.0,11.0,4.0,142.0,38.0,62,12.0,22,True,28.0,power-grid-model,,https://power-grid-model.readthedocs.io/en/stable/,2023-03-02 16:00:47,1.4.45,1292.0,10134.0,76.0,2.0,2.0,https://pypi.org/project/power-grid-model,10005.0,,2.0,,,,,,
16,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerSimulations.jl,2017-11-03 21:11:22,2023-03-01 06:34:07,2023-02-17 02:42:10,7400,175.0,44.0,16.0,677.0,225.0,203,29.0,21,True,25.0,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2023-02-17 03:34:33,0.18.1,,,72.0,,,,,,2.0,,,,,,
17,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2023-02-13 23:31:15,2023-02-13 22:53:32,2298,34.0,130.0,29.0,36.0,120.0,298,12.0,20,True,11.0,matpower,,https://matpower.org/doc/,2020-10-08 23:57:49,7.1,176568.0,3492.0,4.0,,,https://pypi.org/project/matpower,90.0,,3.0,,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2022-12-23 05:36:43.825145,526.0,
18,LTB andes,dynamic,"['python', 'jupyter', 'ltb', 'curent']",,cuihantao/andes,https://github.com/cuihantao/andes,GPL-3,Transient Stability Simulator; Part of CURENT LTB.,https://github.com/cuihantao/andes,2016-11-07 01:04:50,2023-03-01 22:58:59,2023-02-13 15:09:34,4345,58.0,69.0,14.0,249.0,42.0,150,19.0,20,True,3.0,andes,andes,https://docs.andes.app/en/stable/,2022-03-27 17:07:13,1.6.2,,990.0,18.0,9.0,9.0,https://pypi.org/project/andes,989.0,https://anaconda.org/anaconda/andes,1.0,,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,110.0,
19,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2023-02-13 16:45:07,2023-02-13 16:45:07,781,37.0,38.0,18.0,46.0,47.0,103,17.0,20,True,13.0,powerplantmatching,powerplantmatching,https://atlite.readthedocs.io/en/master/?badge=master,2023-02-13 16:37:22,0.5.6,40.0,266.0,13.0,14.0,14.0,https://pypi.org/project/powerplantmatching,266.0,https://anaconda.org/anaconda/powerplantmatching,3.0,,,,,,
20,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2022-12-27 15:37:42,2022-06-24 05:19:46,342,,93.0,25.0,41.0,11.0,250,18.0,19,True,26.0,PYPOWER,pypower,http://rwl.github.io/PYPOWER/index.html,2021-03-22 22:06:27,5.1.15,,3160.0,13.0,76.0,76.0,https://pypi.org/project/PYPOWER,3160.0,https://anaconda.org/anaconda/pypower,3.0,-1.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,16.0,
21,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2023-02-22 18:28:13,2023-02-22 14:25:48,1267,100.0,114.0,15.0,305.0,125.0,176,36.0,19,True,52.0,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2023-02-16 15:06:02,0.7.0,,0.0,10.0,,,,,,3.0,,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,36.0,
22,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2023-02-21 18:36:40,2023-02-21 18:33:10,946,4.0,116.0,23.0,407.0,353.0,305,27.0,18,True,95.0,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,2023-01-07 04:18:20,0.19.8,,,70.0,,,,,,3.0,,,,,,
23,PyPSA-Eur-Sec,steady-state,['python'],,PyPSA/pypsa-eur-sec,https://pypsa.org,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur-sec,2019-04-17 15:43:45,2023-03-02 15:15:53,2023-03-02 14:08:45,1035,121.0,44.0,15.0,194.0,64.0,76,21.0,18,True,60.0,,,https://pypsa-eur-sec.readthedocs.io/en/latest/?badge=latest,2023-02-16 20:39:50,0.7.0,,,7.0,,,,,,3.0,,,,,,
