,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,new_addition,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,conda_dependent_project_count,dockerhub_stars
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2024-01-25 15:54:01.000,2024-01-25 15:53:58,246,12.0,89.0,14.0,28.0,10.0,238,7.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2023-11-11 19:19:54.000,2023-11-11 19:19:54,981,2.0,18.0,6.0,,,57,5.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CVXPY,opl,['python'],,cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2024-02-01 19:22:48.000,2024-02-01 19:22:48,3432,25.0,1042.0,124.0,813.0,1189.0,4910,182.0,193.0,37,True,cvxpy,conda-forge/cvxpy,http://www.cvxpy.org/,2024-01-22 17:19:03.000,1.3.3,311.0,833241.0,122.0,10889.0,10472.0,https://pypi.org/project/cvxpy,2024-01-22 17:19:03.000,417.0,812286.0,https://anaconda.org/conda-forge/cvxpy,2024-01-20 04:49:18.672,921794.0,1.0,True,,,,,,,
3,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2024-02-01 19:25:45.000,2024-02-01 19:25:45,22443,381.0,465.0,61.0,1836.0,1009.0,1767,137.0,324.0,36,True,Pyomo,conda-forge/pyomo,https://pyomo.readthedocs.io/en/stable/,2023-11-30 03:01:19.000,6.7.0,2031.0,337925.0,63.0,1890.0,1699.0,https://pypi.org/project/Pyomo,2023-11-30 03:00:49.000,191.0,319663.0,https://anaconda.org/conda-forge/pyomo,2023-11-30 05:23:54.090,799837.0,2.0,,,,,,,,
4,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2024-02-01 19:55:12.000,2024-01-24 13:26:56,8194,74.0,432.0,45.0,1192.0,727.0,720,126.0,172.0,31,True,pandapower,conda-forge/pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:49:00.911,2.13.1,,12423.0,37.0,336.0,309.0,https://pypi.org/project/pandapower,2023-01-02 22:02:35.562,27.0,12114.0,https://anaconda.org/conda-forge/pandapower,2023-06-16 19:21:29.945,12944.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,89.0,-1.0,,
5,OSQP,ops,['python'],,osqp/osqp,https://github.com/osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,2016-09-27 03:02:46,2023-12-31 15:49:43.000,2023-09-22 13:09:40,2751,,317.0,41.0,241.0,246.0,1504,31.0,83.0,30,True,osqp,osqp,https://osqp.org/,2023-06-27 14:52:29.000,0.6.3,55365.0,1349832.0,28.0,64.0,,https://pypi.org/project/osqp,2023-06-01 12:59:01.049,60.0,1349022.0,https://anaconda.org/anaconda/osqp,2023-06-28 14:36:44.663,1080.0,1.0,True,,,,,,4.0,
6,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2024-01-26 16:16:04.000,2024-01-11 11:28:33,1735,73.0,240.0,27.0,309.0,457.0,721,67.0,26.0,30,True,PySCIPOpt,conda-forge/pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-12-08 16:02:26.000,4.4.0,,20491.0,60.0,158.0,144.0,https://pypi.org/project/PySCIPOpt,2023-12-08 16:02:26.000,14.0,14718.0,https://anaconda.org/conda-forge/pyscipopt,2023-12-15 16:30:43.831,207841.0,1.0,True,,,,,,,
7,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2024-01-31 09:29:39.000,2024-01-30 18:16:32,2457,98.0,398.0,67.0,504.0,227.0,1011,69.0,91.0,29,True,pypsa,conda-forge/pypsa,https://pypsa.readthedocs.io/en/latest/,2024-01-25 16:06:21.000,0.26.3,,7653.0,51.0,179.0,155.0,https://pypi.org/project/pypsa,2024-01-25 16:06:21.000,24.0,6251.0,https://anaconda.org/conda-forge/pypsa,2024-01-25 18:13:51.140,60327.0,1.0,,,,,,,,
8,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2024-02-01 18:13:44.000,2024-01-29 16:46:04,8803,41.0,141.0,32.0,954.0,485.0,737,60.0,77.0,29,True,highspy,conda-forge/highs,https://ergo-code.github.io/HiGHS/,2023-09-29 05:31:06.000,1.6.0,,32515.0,11.0,64.0,59.0,https://pypi.org/project/highspy,2022-12-15 14:07:00.822,5.0,32141.0,https://anaconda.org/conda-forge/highs,2023-09-29 08:09:20.148,2622.0,2.0,,,,,,3.0,,
9,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2014-12-28 02:03:06,2024-01-25 22:51:52.000,2024-01-18 03:56:59,2352,13.0,250.0,42.0,26.0,564.0,1218,30.0,4.0,27,True,ipopt,conda-forge/ipopt,https://coin-or.github.io/Ipopt/,2024-01-18 03:59:26.000,releases/3.14.14,10632.0,26949.0,29.0,7.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,7.0,1527.0,https://anaconda.org/conda-forge/ipopt,2024-01-19 20:27:56.030,1007663.0,2.0,,,,,,3.0,,
