,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,new_addition
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25.000,2024-01-25 15:54:01.000,2024-01-25 15:53:58,246.0,12.0,89.0,14.0,28.0,10.0,238.0,7.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53.000,2023-11-11 19:19:54.000,2023-11-11 19:19:54,981.0,1.0,18.0,6.0,,,57.0,5.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
2,CVXPY,opl,['python'],,cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58.000,2024-02-04 22:45:10.000,2024-02-04 21:53:56,3433.0,25.0,1042.0,124.0,815.0,1192.0,4925.0,182.0,193.0,37,True,cvxpy,conda-forge/cvxpy,http://www.cvxpy.org/,2024-01-22 17:19:03.000,1.3.3,311.0,876770.0,122.0,10974.0,10556.0,https://pypi.org/project/cvxpy,2024-01-22 17:19:03.000,418.0,855729.0,https://anaconda.org/conda-forge/cvxpy,2024-01-20 04:49:18.672,925549.0,1.0,,,,,,,
3,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45.000,2024-02-08 15:56:10.000,2024-02-08 15:56:09,22469.0,379.0,465.0,62.0,1842.0,1010.0,1773.0,137.0,324.0,36,True,Pyomo,conda-forge/pyomo,https://pyomo.readthedocs.io/en/stable/,2023-11-30 03:01:19.000,6.7.0,2043.0,349143.0,63.0,1899.0,1708.0,https://pypi.org/project/Pyomo,2023-11-30 03:00:49.000,191.0,330825.0,https://anaconda.org/conda-forge/pyomo,2023-11-30 05:23:54.090,802288.0,2.0,,,,,,,
4,OSQP,ops,['python'],,osqp/osqp,https://osqp.org,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,2016-09-27 03:02:46.000,2024-02-05 17:13:54.000,2023-09-22 13:09:40,2751.0,,317.0,42.0,241.0,246.0,1509.0,31.0,83.0,31,True,osqp,conda-forge/osqp,https://osqp.org/,2024-02-05 17:13:54.000,0.6.5,55884.0,1437622.0,30.0,61.0,,https://pypi.org/project/osqp,2024-02-05 17:13:54.000,61.0,1416270.0,https://anaconda.org/conda-forge/osqp,2023-10-06 03:37:44.843,764837.0,1.0,1.0,,,,,,
5,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53.000,2024-02-06 22:40:00.000,2024-02-05 10:09:11,8195.0,65.0,434.0,45.0,1194.0,727.0,723.0,126.0,174.0,31,True,pandapower,conda-forge/pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:49:00.911,2.13.1,,14089.0,37.0,338.0,310.0,https://pypi.org/project/pandapower,2023-01-02 22:02:35.562,28.0,13779.0,https://anaconda.org/conda-forge/pandapower,2023-06-16 19:21:29.945,13001.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,89.0,,
6,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21.000,2024-02-08 13:03:22.000,2024-02-08 13:03:22,1737.0,72.0,240.0,27.0,310.0,457.0,721.0,67.0,26.0,30,True,PySCIPOpt,conda-forge/pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-12-08 16:02:26.000,4.4.0,,17966.0,60.0,159.0,145.0,https://pypi.org/project/PySCIPOpt,2023-12-08 16:02:26.000,14.0,12163.0,https://anaconda.org/conda-forge/pyscipopt,2023-12-15 16:30:43.831,208923.0,1.0,,,,,,,
7,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18.000,2024-02-08 11:34:52.000,2024-02-06 17:45:59,2467.0,100.0,398.0,68.0,508.0,227.0,1019.0,69.0,91.0,29,True,pypsa,conda-forge/pypsa,https://pypsa.readthedocs.io/en/latest/,2024-01-25 16:06:21.000,0.26.3,,7732.0,51.0,181.0,157.0,https://pypi.org/project/pypsa,2024-01-25 16:06:21.000,24.0,6322.0,https://anaconda.org/conda-forge/pypsa,2024-01-25 18:13:51.140,60653.0,1.0,,,,,,,
8,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58.000,2024-02-08 17:12:00.000,2024-01-29 16:46:04,8803.0,11.0,140.0,32.0,959.0,487.0,740.0,60.0,78.0,29,True,highspy,conda-forge/highs,https://ergo-code.github.io/HiGHS/,2023-09-29 05:31:06.000,1.6.0,,35844.0,11.0,65.0,60.0,https://pypi.org/project/highspy,2022-12-15 14:07:00.822,5.0,35459.0,https://anaconda.org/conda-forge/highs,2023-09-29 08:09:20.148,2698.0,2.0,,,,,,,
9,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29.000,2024-02-08 17:24:28.000,2024-02-08 15:51:06,36516.0,167.0,278.0,53.0,4244.0,5670.0,697.0,189.0,1813.0,27,True,,,https://openmodelica.org/useresresources/userdocumentation,2023-12-13 10:48:55.000,1.22.1,358.0,334.0,18.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-12-15 14:05:19.336681,34811.0,5.0,
