,name,category,resource,github_id,homepage,docs_url,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,labels,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,new_addition
0,Power Grid Lib - Optimal Power Flow,data,True,power-grid-lib/pglib-opf,https://power-grid-lib.github.io,https://arxiv.org/abs/1908.02788,CC-BY-4.0,Benchmarks for OPF.,https://github.com/power-grid-lib/pglib-opf,2017-06-27 19:02:06.000,2023-07-24 16:17:02.000,2023-07-24 16:12:04,15.0,77.0,27.0,11.0,13.0,18.0,268.0,2023-07-24 16:17:02.000,23.07,8.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
1,Power Grid Lib - Unit Commitment,data,True,power-grid-lib/pglib-uc,https://power-grid-lib.github.io,,CC-BY-4.0,Benchmarks for UC.,https://github.com/power-grid-lib/pglib-uc,2019-08-02 23:31:34.000,2021-10-28 16:15:03.000,2021-09-28 14:57:15,15.0,25.0,5.0,1.0,3.0,,79.0,2019-08-07 20:35:09.000,19.08,1.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
2,Power Grid Lib - Optimal Power Flow with HVDC Lines,data,True,power-grid-lib/pglib-opf-hvdc,https://power-grid-lib.github.io,https://ieeexplore.ieee.org/document/8636236,CC-BY-4.0,Benchmarks for OPF with HVDC.,https://github.com/power-grid-lib/pglib-opf-hvdc,2019-08-05 18:59:16.000,2023-10-06 14:38:09.000,2023-10-06 14:35:21,15.0,4.0,2.0,1.0,,,16.0,2023-10-06 14:38:45.000,23.09,2.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
3,WECC-and-NPCC-Electricity-Economic-Data,data,True,enliten/ENLITEN-Grid-Econ-Data,https://github.com/enliten/ENLITEN-Grid-Econ-Data,,GPL-3,Economic data on WECC and NPCC.,https://github.com/enliten/ENLITEN-Grid-Econ-Data,2022-12-05 19:17:45.000,2023-09-06 16:45:21.000,2023-09-06 16:44:52,40.0,2.0,2.0,,,,5.0,2022-12-06 05:06:06.000,WECC-and-NPCC,1.0,3.0,0,True,['python'],,,,,,,,,,,,,,,,,,,,,,
4,OpenDataElia,data,True,,https://opendata.elia.be/pages/home/,https://help.opendatasoft.com/en/home,CC-BY-4.0,Data by opendatasoft.,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,
5,Data on Energy,data,True,owid/energy-data,https://ourworldindata.org/energy,,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25.000,2024-01-25 15:54:01.000,2024-01-25 15:53:58,246.0,90.0,14.0,28.0,1.0,10.0,239.0,,,,7.0,0,True,['python'],12.0,,,,,,,,,,,,,,,,,,,,,
6,COVID-EMDA,data,True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53.000,2023-11-11 19:19:54.000,2023-11-11 19:19:54,981.0,18.0,6.0,,1.0,,57.0,,,,5.0,0,True,['python'],,,,,,,,,,,,,,,,,,,,,,
7,CVXPY,opl,,cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,http://www.cvxpy.org/,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58.000,2024-02-22 07:54:17.000,2024-02-21 21:59:15,3442.0,1042.0,124.0,823.0,193.0,1196.0,4949.0,2024-01-22 17:19:03.000,1.3.3,122.0,186.0,37,True,['python'],31.0,cvxpy,conda-forge/cvxpy,312.0,927628.0,11120.0,10695.0,https://pypi.org/project/cvxpy,2024-01-22 17:19:03.000,425.0,906442.0,https://anaconda.org/conda-forge/cvxpy,2024-01-20 04:49:18.672,931959.0,1.0,,,,,,,
8,Pyomo,opl,,Pyomo/pyomo,https://www.pyomo.org,https://pyomo.readthedocs.io/en/stable/,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45.000,2024-02-22 18:14:36.000,2024-02-22 17:40:03,23155.0,482.0,62.0,1866.0,278.0,1024.0,1787.0,2024-02-21 18:09:59.000,6.7.1,64.0,140.0,37,True,"['python', 'jupyter']",869.0,Pyomo,conda-forge/pyomo,2087.0,361761.0,1920.0,1728.0,https://pypi.org/project/Pyomo,2024-02-21 18:09:59.000,192.0,343361.0,https://anaconda.org/conda-forge/pyomo,2024-02-21 22:14:35.281,805823.0,1.0,1.0,,,,,,
9,OSQP,ops,,osqp/osqp,https://osqp.org,https://osqp.org/,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,2016-09-27 03:02:46.000,2024-02-20 19:39:05.000,2023-09-22 13:09:40,2751.0,318.0,43.0,243.0,84.0,246.0,1514.0,2024-02-05 17:13:54.000,0.6.5,30.0,31.0,31,True,['python'],,osqp,conda-forge/osqp,57044.0,1531772.0,61.0,,https://pypi.org/project/osqp,2024-02-05 17:13:54.000,61.0,1510237.0,https://anaconda.org/conda-forge/osqp,2023-10-06 03:37:44.843,771100.0,1.0,,,,,,,
10,pandapower,steady-state,,e2nIEE/pandapower,https://www.pandapower.org/,https://pandapower.readthedocs.io/en/latest/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53.000,2024-02-22 10:56:11.000,2024-02-22 09:57:45,8204.0,433.0,46.0,1199.0,174.0,727.0,730.0,2023-05-12 15:49:00.911,2.13.1,37.0,126.0,31,True,['python'],57.0,pandapower,conda-forge/pandapower,,14424.0,341.0,313.0,https://pypi.org/project/pandapower,2023-01-02 22:02:35.562,28.0,14113.0,https://anaconda.org/conda-forge/pandapower,2023-06-16 19:21:29.945,13041.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,90.0,,
11,PySCIPOpt,ops,,scipopt/PySCIPOpt,https://www.scipopt.org/,https://scipopt.github.io/PySCIPOpt/docs/html/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21.000,2024-02-20 09:44:02.000,2024-02-20 09:39:29,1738.0,240.0,27.0,313.0,26.0,457.0,722.0,2023-12-08 16:02:26.000,4.4.0,60.0,67.0,30,True,['python'],46.0,PySCIPOpt,conda-forge/pyscipopt,,15102.0,163.0,149.0,https://pypi.org/project/PySCIPOpt,2023-12-08 16:02:26.000,14.0,9249.0,https://anaconda.org/conda-forge/pyscipopt,2023-12-15 16:30:43.831,210715.0,1.0,,,,,,,
12,PyPSA,steady-state,,PyPSA/PyPSA,https://pypsa.org,https://pypsa.readthedocs.io/en/latest/,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18.000,2024-02-19 15:12:29.000,2024-02-19 15:12:28,2492.0,406.0,69.0,518.0,92.0,230.0,1030.0,2024-02-18 11:19:23.000,0.27.0,52.0,69.0,29,True,['python'],96.0,pypsa,conda-forge/pypsa,,7731.0,186.0,161.0,https://pypi.org/project/pypsa,2024-02-18 11:19:23.000,25.0,6311.0,https://anaconda.org/conda-forge/pypsa,2024-02-18 19:35:56.265,61097.0,1.0,,,,,,,
13,HiGHS,ops,,ERGO-Code/HiGHS,https://highs.dev/,https://ergo-code.github.io/HiGHS/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58.000,2024-02-22 16:04:07.000,2024-01-29 16:46:04,8803.0,141.0,31.0,967.0,75.0,499.0,748.0,2023-09-29 05:31:06.000,1.6.0,11.0,60.0,28,True,['python'],7.0,highspy,conda-forge/highs,,41894.0,68.0,63.0,https://pypi.org/project/highspy,2022-12-15 14:07:00.822,5.0,41498.0,https://anaconda.org/conda-forge/highs,2023-09-29 08:09:20.148,2777.0,2.0,,,,,,,
14,OpenModelica,cosime,,OpenModelica/OpenModelica,https://openmodelica.org,https://openmodelica.org/useresresources/userdocumentation,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29.000,2024-02-22 15:09:35.000,2024-02-22 15:09:34,36550.0,278.0,53.0,4282.0,1807.0,5690.0,699.0,2024-02-21 08:42:32.000,1.22.2,19.0,188.0,27,True,,172.0,,,358.0,340.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-12-15 14:05:19.336681,35485.0,5.0,
15,SCS,ops,,cvxgrp/scs,https://github.com/cvxgrp/scs,https://www.cvxgrp.org/scs/,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,2013-11-29 23:11:16.000,2024-02-08 10:53:08.793,2023-12-30 12:29:49,1240.0,131.0,36.0,89.0,35.0,135.0,512.0,2023-11-08 15:47:59.000,3.2.4,38.0,27.0,27,True,['python'],1.0,scs,conda-forge/scs,,916350.0,78.0,,https://pypi.org/project/scs,2023-11-22 12:02:04.000,78.0,896715.0,https://anaconda.org/conda-forge/scs,2024-02-08 10:53:08.793,765768.0,2.0,,,,,,,
16,JuMP,opl,,jump-dev/JuMP.jl,https://jump.dev,https://jump.dev/JuMP.jl/stable/,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45.000,2024-02-19 23:06:46.000,2024-02-17 04:07:52,4852.0,377.0,84.0,2211.0,86.0,1411.0,2104.0,2024-02-15 19:33:54.000,1.20.0,68.0,149.0,26,True,"['julia', 'jupyter']",75.0,,,,,,,,,,,,,,2.0,,,,,,,
17,Ipopt,ops,,coin-or/Ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2014-12-28 02:03:06.000,2024-01-25 22:51:52.000,2024-01-18 03:56:59,2352.0,250.0,43.0,26.0,5.0,564.0,1232.0,2024-01-18 03:59:26.000,releases/3.14.14,29.0,30.0,26,True,['python'],5.0,ipopt,conda-forge/ipopt,10981.0,27131.0,7.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,7.0,1431.0,https://anaconda.org/conda-forge/ipopt,2024-01-19 20:27:56.030,1018483.0,2.0,,,,,,,
