,name,category,resource,github_id,homepage,docs_url,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,new_addition
0,Power Grid Lib - Optimal Power Flow,data,True,power-grid-lib/pglib-opf,https://power-grid-lib.github.io,https://arxiv.org/abs/1908.02788,CC-BY-4.0,Benchmarks for OPF.,https://github.com/power-grid-lib/pglib-opf,2017-06-27 19:02:06.000,2023-07-24 16:17:02.000000,2023-07-24 16:12:04,15.0,78.0,27.0,11.0,13.0,18.0,271.0,2023-07-24 16:17:02.000,23.07,8.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
1,Power Grid Lib - Unit Commitment,data,True,power-grid-lib/pglib-uc,https://power-grid-lib.github.io,,CC-BY-4.0,Benchmarks for UC.,https://github.com/power-grid-lib/pglib-uc,2019-08-02 23:31:34.000,2021-10-28 16:15:03.000000,2021-09-28 14:57:15,15.0,25.0,5.0,1.0,3.0,,79.0,2019-08-07 20:35:09.000,19.08,1.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
2,Power Grid Lib - Optimal Power Flow with HVDC Lines,data,True,power-grid-lib/pglib-opf-hvdc,https://power-grid-lib.github.io,https://ieeexplore.ieee.org/document/8636236,CC-BY-4.0,Benchmarks for OPF with HVDC.,https://github.com/power-grid-lib/pglib-opf-hvdc,2019-08-05 18:59:16.000,2023-10-06 14:38:09.000000,2023-10-06 14:35:21,15.0,4.0,2.0,1.0,,,16.0,2023-10-06 14:38:45.000,23.09,2.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
3,WECC-and-NPCC-Electricity-Economic-Data,data,True,enliten/ENLITEN-Grid-Econ-Data,https://github.com/enliten/ENLITEN-Grid-Econ-Data,,GPL-3,Economic data on WECC and NPCC.,https://github.com/enliten/ENLITEN-Grid-Econ-Data,2022-12-05 19:17:45.000,2023-09-06 16:45:21.000000,2023-09-06 16:44:52,40.0,2.0,2.0,,,,5.0,2022-12-06 05:06:06.000,WECC-and-NPCC,1.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
4,OpenDataElia,data,True,,https://opendata.elia.be/pages/home/,https://help.opendatasoft.com/en/home,CC-BY-4.0,Data by opendatasoft.,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,
5,Data on Energy,data,True,owid/energy-data,https://ourworldindata.org/energy,,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25.000,2024-03-04 11:21:23.000000,2024-03-04 11:21:20,248.0,90.0,14.0,29.0,1.0,10.0,243.0,,,,7.0,0,True,14.0,,,,,,,,,,,,,,,,,,,,,,
6,COVID-EMDA,data,True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53.000,2023-11-11 19:19:54.000000,2023-11-11 19:19:54,981.0,18.0,6.0,,1.0,,57.0,,,,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
7,CVXPY,opl,,cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,http://www.cvxpy.org/,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58.000,2024-03-14 16:16:24.000000,2024-03-13 03:01:09,3447.0,1042.0,124.0,836.0,196.0,1200.0,4985.0,2024-01-22 17:19:03.000,1.3.3,122.0,187.0,37,True,30.0,"['gha', 'pypi', 'conda', 'python']",cvxpy,conda-forge/cvxpy,312.0,1013668.0,11347.0,10918.0,https://pypi.org/project/cvxpy,2024-01-22 17:19:03.000,429.0,992712.0,https://anaconda.org/conda-forge/cvxpy,2024-02-25 21:17:03.235,942764.0,1.0,,,,,,,
8,Pyomo,opl,,Pyomo/pyomo,https://www.pyomo.org,https://pyomo.readthedocs.io/en/stable/,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45.000,2024-03-14 16:43:37.000000,2024-03-13 17:11:01,23326.0,482.0,63.0,1894.0,278.0,1029.0,1811.0,2024-02-21 18:09:59.000,6.7.1,64.0,140.0,36,True,853.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",Pyomo,conda-forge/pyomo,2144.0,382399.0,1957.0,1764.0,https://pypi.org/project/Pyomo,2024-02-21 18:09:59.000,193.0,364325.0,https://anaconda.org/conda-forge/pyomo,2024-02-21 22:14:35.281,809517.0,2.0,,,,,,,
9,OSQP,ops,,osqp/osqp,https://osqp.org,https://osqp.org/docs/get_started/,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,2016-09-27 03:02:46.000,2024-03-14 11:51:27.000000,2024-03-14 11:51:24,2754.0,319.0,42.0,244.0,85.0,247.0,1527.0,2024-02-05 17:13:54.000,0.6.5,30.0,31.0,31,True,3.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,58878.0,1618538.0,61.0,,https://pypi.org/project/osqp,2024-02-05 17:13:54.000,61.0,1597258.0,https://anaconda.org/conda-forge/osqp,2023-10-06 03:37:44.843,781719.0,1.0,1.0,,,,,,
