,name,category,resource,github_id,homepage,docs_url,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id
0,Power Grid Lib - Optimal Power Flow,data,True,power-grid-lib/pglib-opf,https://power-grid-lib.github.io,https://arxiv.org/abs/1908.02788,CC-BY-4.0,Benchmarks for OPF.,https://github.com/power-grid-lib/pglib-opf,2017-06-27 19:02:06.000,2023-07-24 16:17:02.000,2023-07-24 16:12:04,15.0,78.0,27.0,11.0,13.0,18.0,272.0,2023-07-24 16:17:02.000,23.07,8.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
1,Power Grid Lib - Unit Commitment,data,True,power-grid-lib/pglib-uc,https://power-grid-lib.github.io,,CC-BY-4.0,Benchmarks for UC.,https://github.com/power-grid-lib/pglib-uc,2019-08-02 23:31:34.000,2021-10-28 16:15:03.000,2021-09-28 14:57:15,15.0,25.0,5.0,1.0,3.0,,79.0,2019-08-07 20:35:09.000,19.08,1.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
2,Power Grid Lib - Optimal Power Flow with HVDC Lines,data,True,power-grid-lib/pglib-opf-hvdc,https://power-grid-lib.github.io,https://ieeexplore.ieee.org/document/8636236,CC-BY-4.0,Benchmarks for OPF with HVDC.,https://github.com/power-grid-lib/pglib-opf-hvdc,2019-08-05 18:59:16.000,2023-10-06 14:38:09.000,2023-10-06 14:35:21,15.0,4.0,2.0,1.0,,,16.0,2023-10-06 14:38:45.000,23.09,2.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
3,WECC-and-NPCC-Electricity-Economic-Data,data,True,enliten/ENLITEN-Grid-Econ-Data,https://github.com/enliten/ENLITEN-Grid-Econ-Data,,GPL-3,Economic data on WECC and NPCC.,https://github.com/enliten/ENLITEN-Grid-Econ-Data,2022-12-05 19:17:45.000,2023-09-06 16:45:21.000,2023-09-06 16:44:52,40.0,2.0,2.0,,,,5.0,2022-12-06 05:06:06.000,WECC-and-NPCC,1.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
4,OpenDataElia,data,True,,https://opendata.elia.be/pages/home/,https://help.opendatasoft.com/en/home,CC-BY-4.0,Data by opendatasoft.,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,
5,Data on Energy,data,True,owid/energy-data,https://ourworldindata.org/energy,,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25.000,2024-03-04 11:21:23.000,2024-03-04 11:21:20,248.0,90.0,14.0,29.0,1.0,10.0,244.0,,,,7.0,0,True,14.0,,,,,,,,,,,,,,,,,,,,,,
6,COVID-EMDA,data,True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53.000,2023-11-11 19:19:54.000,2023-11-11 19:19:54,981.0,18.0,6.0,,1.0,,57.0,,,,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,
7,CVXPY,opl,,cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,http://www.cvxpy.org/,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58.000,2024-03-20 17:48:19.000,2024-03-19 20:05:19,3448.0,1042.0,124.0,836.0,197.0,1200.0,4995.0,2024-01-22 17:19:03.000,1.3.3,122.0,187.0,37,True,30.0,"['gha', 'pypi', 'conda', 'python']",cvxpy,conda-forge/cvxpy,312.0,1023264.0,11415.0,10984.0,https://pypi.org/project/cvxpy,2024-01-22 17:19:03.000,431.0,1002255.0,https://anaconda.org/conda-forge/cvxpy,2024-02-25 21:17:03.235,945174.0,1.0,,,,,,,
8,Pyomo,opl,,Pyomo/pyomo,https://www.pyomo.org,https://pyomo.readthedocs.io/en/stable/,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45.000,2024-03-21 08:58:28.000,2024-03-19 12:47:24,23337.0,485.0,63.0,1899.0,289.0,1030.0,1815.0,2024-02-21 18:09:59.000,6.7.1,64.0,140.0,36,True,826.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",Pyomo,conda-forge/pyomo,2170.0,381824.0,1969.0,1775.0,https://pypi.org/project/Pyomo,2024-02-21 18:09:59.000,194.0,363724.0,https://anaconda.org/conda-forge/pyomo,2024-02-21 22:14:35.281,810636.0,2.0,,,,,,,
9,OSQP,ops,,osqp/osqp,https://osqp.org,https://osqp.org/docs/get_started/,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,2016-09-27 03:02:46.000,2024-03-19 14:54:57.000,2024-03-14 11:51:24,2754.0,320.0,42.0,246.0,85.0,248.0,1532.0,2024-02-05 17:13:54.000,0.6.5,30.0,31.0,31,True,3.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,59464.0,1624667.0,61.0,,https://pypi.org/project/osqp,2024-02-05 17:13:54.000,61.0,1603317.0,https://anaconda.org/conda-forge/osqp,2023-10-06 03:37:44.843,784129.0,1.0,,,,,,,
10,HiGHS,ops,,ERGO-Code/HiGHS,https://highs.dev/,https://ergo-code.github.io/HiGHS/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58.000,2024-03-20 16:46:01.000,2024-03-07 12:34:01,9430.0,148.0,30.0,999.0,84.0,528.0,769.0,2024-03-07 10:57:49.000,1.7.0,12.0,63.0,31,True,478.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,,41555.0,81.0,71.0,https://pypi.org/project/highspy,2024-03-10 14:09:04.000,10.0,41194.0,https://anaconda.org/conda-forge/highs,2023-09-29 08:09:20.148,2889.0,1.0,,,,,,,
11,pandapower,steady-state,,e2nIEE/pandapower,https://www.pandapower.org/,https://pandapower.readthedocs.io/en/latest/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53.000,2024-03-19 16:31:29.000,2024-03-11 11:57:39,8215.0,437.0,46.0,1206.0,172.0,730.0,747.0,2023-05-12 15:49:00.911,2.13.1,37.0,126.0,31,True,45.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,19642.0,351.0,321.0,https://pypi.org/project/pandapower,2023-01-02 22:02:35.562,30.0,19336.0,https://anaconda.org/conda-forge/pandapower,2023-06-16 19:21:29.945,13143.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,90.0,,,
12,PyPSA,steady-state,,PyPSA/PyPSA,https://pypsa.org,https://pypsa.readthedocs.io/en/latest/,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18.000,2024-03-19 16:11:46.000,2024-03-19 07:24:55,2510.0,414.0,73.0,523.0,92.0,231.0,1068.0,2024-02-18 11:19:23.000,0.27.0,52.0,69.0,30,True,81.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,7514.0,191.0,166.0,https://pypi.org/project/pypsa,2024-02-18 11:19:23.000,25.0,6106.0,https://anaconda.org/conda-forge/pypsa,2024-02-18 19:35:56.265,61975.0,1.0,,,,,1.0,,
