,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id
0,Australian MV-LV Networks,data,True,Team-Nando/MV-LV-Networks,BSD-3,Large-scale three-phase Australian MV distribution networks with pseudo LV networks.,https://github.com/Team-Nando/MV-LV-Networks,https://github.com/Team-Nando/MV-LV-Networks,2024-03-26 03:29:17,2024-03-27 00:24:02.000000,2024-03-27 00:23:23,9.0,10.0,1.0,26.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Power Grid Lib - Optimal Power Flow,data,True,power-grid-lib/pglib-opf,CC-BY-4.0,Benchmarks for OPF.,https://github.com/power-grid-lib/pglib-opf,https://power-grid-lib.github.io,2017-06-27 19:02:06,2023-07-24 16:17:02.000000,2023-07-24 16:12:04,15.0,83.0,14.0,311.0,1.0,0,True,https://arxiv.org/abs/1908.02788,27.0,11.0,19.0,2023-07-24 16:17:02.000,23.07,8.0,,,,,,,,,,,,,,,,,,,,,,,
2,Power Grid Lib - Unit Commitment,data,True,power-grid-lib/pglib-uc,CC-BY-4.0,Benchmarks for UC.,https://github.com/power-grid-lib/pglib-uc,https://power-grid-lib.github.io,2019-08-02 23:31:34,2024-06-11 11:36:48.000000,2021-09-28 14:57:15,15.0,29.0,3.0,89.0,3.0,0,True,,5.0,2.0,,2019-08-07 20:35:09.000,19.08,1.0,,,,,,,,,,,,,,,,,,,,,,,
3,Power Grid Lib - Optimal Power Flow with HVDC Lines,data,True,power-grid-lib/pglib-opf-hvdc,CC-BY-4.0,Benchmarks for OPF with HVDC.,https://github.com/power-grid-lib/pglib-opf-hvdc,https://power-grid-lib.github.io,2019-08-05 18:59:16,2023-10-06 14:38:09.000000,2023-10-06 14:35:21,15.0,6.0,,19.0,2.0,0,True,https://ieeexplore.ieee.org/document/8636236,2.0,1.0,,2023-10-06 14:38:45.000,23.09,2.0,,,,,,,,,,,,,,,,,,,,,,,
4,WECC-and-NPCC-Electricity-Economic-Data,data,True,enliten/ENLITEN-Grid-Econ-Data,GPL-3,Economic data on WECC and NPCC.,https://github.com/enliten/ENLITEN-Grid-Econ-Data,https://github.com/enliten/ENLITEN-Grid-Econ-Data,2022-12-05 19:17:45,2024-06-04 17:21:48.000000,2024-06-04 17:21:47,42.0,2.0,,6.0,4.0,0,True,,2.0,,,2022-12-06 05:06:06.000,WECC-and-NPCC,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,OpenDataElia,data,True,,CC-BY-4.0,Data by opendatasoft.,,https://opendata.elia.be/pages/home/,,,,,,,,,0,True,https://help.opendatasoft.com/en/home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Data on Energy,data,True,owid/energy-data,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,https://ourworldindata.org/energy,2020-09-08 15:21:25,2024-09-05 12:52:09.000000,2024-09-05 12:52:04,266.0,97.0,1.0,301.0,7.0,0,True,,14.0,35.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,COVID-EMDA,data,True,tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2024-04-23 16:12:16.000000,2024-04-23 16:11:59,986.0,19.0,1.0,59.0,5.0,0,True,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PV Rooftop Database,data,True,openEDI/documentation,CC-BY,NREL PV Rooftop Database.,https://github.com/openEDI/documentation,https://data.openei.org/submissions/,2019-12-17 17:36:43,2024-09-18 13:58:12.000000,2024-06-17 20:49:46,181.0,19.0,2.0,57.0,17.0,0,True,,8.0,30.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Grid Event Signature Library,data,True,,CC-BY,An initiative spearheaded by ORNL and LLNL.,,https://gesl.ornl.gov/,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
